book,chapter,verse,en_text,id_text,su_text
1 Korintus,1,1,Korintus 1,Korintus 1,Korintus 1
1 Korintus,1,2,"to the church of God that is in Corinth, to those who are sanctified in Christ Jesus, and called to be saints, with all those in every place who call on the name of our Lord Jesus Christ, their Lord and ours.","kepada jemaat Allah di Korintus, yaitu mereka yang dikuduskan dalam Kristus Yesus dan yang dipanggil menjadi orang-orang kudus, dengan semua orang di segala tempat, yang berseru kepada nama Tuhan kita Yesus Kristus, yaitu Tuhan mereka dan Tuhan kita.","Kahatur jamaah Allah di Korinta, ka sakur anu geus disaur dijadikeun umat suci Allah, geus jadi kagungana-Na ku jalan ngahiji jeung Kristus Yesus, babarengan jeung anu di mana-mana anu nyarembah ka Kristus Yesus Gusti urang, Gusti maranehanana oge."
1 Korintus,1,3,Grace and peace to you from God our Father and the Lord Jesus Christ!,"Kasih karunia dan damai sejahtera dari Allah, Bapa kita, dan dari Tuhan Yesus Kristus menyertai kamu.","Sim kuring, jeung oge Sostenes, ngadoakeun mugia Allah Rama urang, jeung Gusti Yesus Kristus maparin rahmat salamet ka aranjeun."
1 Korintus,1,4,I always thank my God for you because of the grace of God that was given to you in Christ Jesus.,Aku senantiasa mengucap syukur kepada Allahku karena kamu atas kasih karunia Allah yang dianugerahkan-Nya kepada kamu dalam Kristus Yesus.,"Sim kuring teu pegat-pegat muji sukur ka Allah ku hal aranjeun, anu geus mareunang rahmat Allah ku jalan ngahiji jeung Kristus Yesus."
1 Korintus,1,5,"For you were made rich in every way in him, in all your speech and in every kind of knowledge –","Sebab di dalam Dia kamu telah menjadi kaya dalam segala hal: dalam segala macam perkataan dan segala macam pengetahuan,","Sabab ku jalan kitu aranjeun jadi beunghar ku sagala rupa, tur perceka sarta rebo ku kanyaho."
1 Korintus,1,6,just as the testimony about Christ has been confirmed among you –,"sesuai dengan kesaksian tentang Kristus, yang telah diteguhkan di antara kamu.","Eta tandana warta hal Kristus teh geus nyerep enya-enya ka aranjeun,"
1 Korintus,1,7,so that you do not lack any spiritual gift as you wait for the revelation of our Lord Jesus Christ.,Demikianlah kamu tidak kekurangan dalam suatu karuniapun sementara kamu menantikan penyataan Tuhan kita Yesus Kristus.,nepi ka teu aya hiji berkah anu leupas ti aranjeun sajeroning ngadago-dago Gusti urang Yesus Kristus ebreh sumping.
1 Korintus,1,8,"He will also strengthen you to the end, so that you will be blameless on the day of our Lord Jesus Christ.","Ia juga akan meneguhkan kamu sampai kepada kesudahannya, sehingga kamu tak bercacat pada hari Tuhan kita Yesus Kristus.","Anjeunna tangtu mengkuhkeun iman aranjeun nepi ka ahir, supaya di mana Poe sumpingna cunduk, aranjeun teu aya cawadeunana."
1 Korintus,1,9,"God is faithful, by whom you were called into fellowship with his son, Jesus Christ our Lord.","Allah, yang memanggil kamu kepada persekutuan dengan Anak-Nya Yesus Kristus, Tuhan kita, adalah setia.",Allah anu nuyun aranjeun ngahiji jeung Yesus Kristus Putra-Na teh bisa ku aranjeun diandel.
1 Korintus,1,10,"I urge you, brothers and sisters, by the name of our Lord Jesus Christ, to agree together, to end your divisions, and to be united by the same mind and purpose.","Tetapi aku menasihatkan kamu, saudara-saudara, demi nama Tuhan kita Yesus Kristus, supaya kamu seia sekata dan jangan ada perpecahan di antara kamu, tetapi sebaliknya supaya kamu erat bersatu dan sehati sepikir.","Kalawan jenengan Gusti urang Yesus Kristus sim kuring meredih, aranjeun sing saluyu samupakat, ulah nepi ka pagetreng. Sing raket ngahiji, sahate jeung sapikir."
1 Korintus,1,11,"For members of Chloe’s household have made it clear to me, my brothers and sisters, that there are quarrels among you.","Sebab, saudara-saudaraku, aku telah diberitahukan oleh orang-orang dari keluarga Kloe tentang kamu, bahwa ada perselisihan di antara kamu.","Sim kuring terang ti sawatara urang kulawarga Kloë yen tetela pisan, aranjeun teh keur pagetreng."
1 Korintus,1,12,"Now I mean this, that each of you is saying, “I am with Paul,” or “I am with Apollos,” or “I am with Cephas,” or “I am with Christ.”","Yang aku maksudkan ialah, bahwa kamu masing-masing berkata: Aku dari golongan Paulus. Atau aku dari golongan Apolos. Atau aku dari golongan Kefas. Atau aku dari golongan Kristus.","Maksud sim kuring, aranjeun masing-masing beda pamadegan. Ceuk nu saurang, ""Kuring biluk ka Paulus""; ceuk nu saurang deui, ""Kuring biluk ka Apolos""; ceuk nu sejen, ""Kuring biluk ka Petrus""; ceuk nu sejen deui, ""Kuring biluk ka Kristus."""
1 Korintus,1,13,"Is Christ divided? Paul wasn’t crucified for you, was he? Or were you in fact baptized in the name of Paul?",Adakah Kristus terbagi-bagi? Adakah Paulus disalibkan karena kamu? Atau adakah kamu dibaptis dalam nama Paulus?,Kristus nepi ka dibagi-bagi! Naha Paulus kitu anu pupus disalib gaganti aranjeun teh? Aranjeun dibaptis teh naha supaya jadi murid-murid Paulus?
1 Korintus,1,14,"I thank God that I did not baptize any of you except Crispus and Gaius,","Aku mengucap syukur bahwa tidak ada seorangpun juga di antara kamu yang aku baptis selain Krispus dan Gayus,","Hadena sim kuring teu ngabaptis aranjeun saurang-urang acan, kajaba Krispus jeung Gayus."
1 Korintus,1,15,so that no one can say that you were baptized in my name!,"sehingga tidak ada orang yang dapat mengatakan, bahwa kamu dibaptis dalam namaku.",Anu matak moal aya anu nyebut-nyebut yen aranjeun dibaptis dijadikeun murid sim kuring.
1 Korintus,1,16,"(I also baptized the household of Stephanus. Otherwise, I do not remember whether I baptized anyone else.)","Juga keluarga Stefanus aku yang membaptisnya. Kecuali mereka aku tidak tahu, entahkah ada lagi orang yang aku baptis.","(Aya keneh ketah anu dibaptis ku sim kuring teh, Stepanus jeung kulawargana. Tapi salian ti eta mah asana teu aya deui.)"
1 Korintus,1,17,"For Christ did not send me to baptize, but to preach the gospel – and not with clever speech, so that the cross of Christ would not become useless.","Sebab Kristus mengutus aku bukan untuk membaptis, tetapi untuk memberitakan Injil; dan itupun bukan dengan hikmat perkataan, supaya salib Kristus jangan menjadi sia-sia.","Kristus ngutus sim kuring teh lain pikeun ngabaptis, tapi pikeun nguarkeun Injil Kasalametan. Ari nguarkeunana lain ku kapinteran nyarita tina cara manusa, supaya ulah nepi ka matak ngagaplahkeun kakuatan kawasa pupusna Kristus dina salib."
1 Korintus,1,18,"For the message about the cross is foolishness to those who are perishing, but to us who are being saved it is the power of God.","Sebab pemberitaan tentang salib memang adalah kebodohan bagi mereka yang akan binasa, tetapi bagi kita yang diselamatkan pemberitaan itu adalah kekuatan Allah.","Sabab ku jelema-jelema hukumeun mah warta hal Kristus pupus disalib teh dianggap omong kosong. Sabalikna pikeun urang anu geus disalametkeun ku Allah, hal eta teh taya lian ti kakawasaan Allah."
1 Korintus,1,19,"For it is written, “I will destroy the wisdom of the wise,and I will thwart the cleverness of the intelligent.”","Karena ada tertulis: ""Aku akan membinasakan hikmat orang-orang berhikmat dan kearifan orang-orang bijak akan Kulenyapkan.""","Kitab Suci nyebutkeun, ""Kanyaho jalma palinter ku Kami rek dieuweuhkeun, pangarti kaom terpelajar rek dileungitkeun."""
1 Korintus,1,20,Where is the wise man? Where is the expert in the Mosaic law? Where is the debater of this age? Has God not made the wisdom of the world foolish?,Di manakah orang yang berhikmat? Di manakah ahli Taurat? Di manakah pembantah dari dunia ini? Bukankah Allah telah membuat hikmat dunia ini menjadi kebodohan?,"Jadi pikeun naon aya nu palinter, aya kaom terpelajar, aya ahli-ahli sawala di ieu dunya? Ku Allah geus ditetelakeun kapinteran manusa teh taya lian ti omong kosong!"
1 Korintus,1,21,"For since in the wisdom of God the world by its wisdom did not know God, God was pleased to save those who believe by the foolishness of preaching.","Oleh karena dunia, dalam hikmat Allah, tidak mengenal Allah oleh hikmatnya, maka Allah berkenan menyelamatkan mereka yang percaya oleh kebodohan pemberitaan Injil.","Sabab Allah anu bijaksana midamel, sangkan manusa mustahil bisa nyaho ka Mantenna ku kapinteranana sorangan. Sabalikna pikeun nyalametkeun umat-Na anu percaya teh ku hiji warta, nya eta anu diwawarkeun ku sim kuring sabatur-batur, anu ku dunya dianggap kabodoan."
1 Korintus,1,22,"For Jews demand miraculous signs and Greeks ask for wisdom,","Orang-orang Yahudi menghendaki tanda dan orang-orang Yunani mencari hikmat,","Pikeun ngayakinkeun hal eta, urang Yahudi marenta tanda mujijat, urang Yunani ngarulik pangarti."
1 Korintus,1,23,"but we preach about a crucified Christ, a stumbling block to Jews and foolishness to Gentiles.","tetapi kami memberitakan Kristus yang disalibkan: untuk orang-orang Yahudi suatu batu sandungan dan untuk orang-orang bukan Yahudi suatu kebodohan,","Ari ku sim kuring sabatur-batur ngan disodoran wawaran hal Kristus disalib. Puguh bae urang Yahudi asa dihina, bangsa lianna ngabodo-bodo."
1 Korintus,1,24,"But to those who are called, both Jews and Greeks, Christ is the power of God and the wisdom of God.","tetapi untuk mereka yang dipanggil, baik orang Yahudi, maupun orang bukan Yahudi, Kristus adalah kekuatan Allah dan hikmat Allah.","Tapi pikeun anu geus disalaur ku Allah — boh urang Yahudi, boh nu lain Yahudi — eta warta hal Kristus teh bukti tina kakawasaan jeung kabijaksanaan Allah."
1 Korintus,1,25,"For the foolishness of God is wiser than human wisdom, and the weakness of God is stronger than human strength.",Sebab yang bodoh dari Allah lebih besar hikmatnya dari pada manusia dan yang lemah dari Allah lebih kuat dari pada manusia.,"Sabab anu ku manusa dianggap kabodoan Allah, masih leuwih luhung ti batan kapinteran manusa; anu ku manusa dianggap kalemahan Allah, masih leuwih bedas ti batan kakuatan manusa."
1 Korintus,1,26,"Think about the circumstances of your call, brothers and sisters. Not many were wise by human standards, not many were powerful, not many were born to a privileged position.","Ingat saja, saudara-saudara, bagaimana keadaan kamu, ketika kamu dipanggil: menurut ukuran manusia tidak banyak orang yang bijak, tidak banyak orang yang berpengaruh, tidak banyak orang yang terpandang.","Inget dulur-dulur, kumaha kaayaan aranjeun waktu mimiti disalaur. Anu ceuk manusa pinter, atawa kawasa, atawa luhur harkat teh ngan saeutik bae."
1 Korintus,1,27,"But God chose what the world thinks foolish to shame the wise, and God chose what the world thinks weak to shame the strong.","Tetapi apa yang bodoh bagi dunia, dipilih Allah untuk memalukan orang-orang yang berhikmat, dan apa yang lemah bagi dunia, dipilih Allah untuk memalukan apa yang kuat,","Ngahaja Allah milih anu ku dunya dianggap bodo, pikeun ngera-ngera anu palinter. Ngahaja milih anu ku dunya dianggap lemah, pikeun ngera-ngera anu garagah perkasa."
1 Korintus,1,28,"God chose what is low and despised in the world, what is regarded as nothing, to set aside what is regarded as something,","dan apa yang tidak terpandang dan yang hina bagi dunia, dipilih Allah, bahkan apa yang tidak berarti, dipilih Allah untuk meniadakan apa yang berarti,","Ngahaja Allah milih anu ku dunya dianggap hina, kuricakan, taya harga, pikeun ngaruntagkeun anu ku dunya diajen-ajen."
1 Korintus,1,29,so that no one can boast in his presence.,supaya jangan ada seorang manusiapun yang memegahkan diri di hadapan Allah.,Anu matak moal aya manusa anu bisa adigung di payuneun Allah.
1 Korintus,1,30,"He is the reason you have a relationship with Christ Jesus, who became for us wisdom from God, and righteousness and sanctification and redemption,","Tetapi oleh Dia kamu berada dalam Kristus Yesus, yang oleh Allah telah menjadi hikmat bagi kita. Ia membenarkan dan menguduskan dan menebus kita.","Aranjeun oge pang bisa ngahiji jeung Kristus Yesus teh ku sih kurnia Allah, ari Kristus ku Mantenna dijadikeun kabijaksanaan urang, tegesna kabijaksanaan urang teh asalna ti Kristus. Nya ku Anjeunna pang urang bisa diangken bener ku Allah teh, pang urang jadi umat suci Allah, pang urang bisa bebas."
1 Korintus,1,31,"so that, as it is written, “Let the one who boasts,boast in the Lord.”","Karena itu seperti ada tertulis: ""Barangsiapa yang bermegah, hendaklah ia bermegah di dalam Tuhan.""","Ku sabab eta, ""Lamun urang arek agul, kudu agul teh ngan ku anu geus dipidamel ku Gusti pikeun urang."" Kitu ceuk Kitab Suci."
1 Korintus,1,32,"And I want you to be free from concern. An unmarried man is concerned about the things of the Lord, how to please the Lord.","Aku ingin, supaya kamu hidup tanpa kekuatiran. Orang yang tidak beristeri memusatkan perhatiannya pada perkara Tuhan, bagaimana Tuhan berkenan kepadanya.","Kahayang sim kuring aranjeun ulah aya karidu naon-naon. Lalaki anu teu kawin tangtu bisa museurkeun pikiran kana hal-hal anu tumali jeung Gusti, pikeun nyenangkeun manah-Na."
1 Korintus,1,33,"But a married man is concerned about the things of the world, how to please his wife,","Orang yang beristeri memusatkan perhatiannya pada perkara duniawi, bagaimana ia dapat menyenangkan isterinya,","Ari geus rumah tangga mah tangtu teu kaur kitu balas ngurus rumah tangga, malar pamajikanana senangeun hatena;"
