verse_id,pair,su_idx,tgt_idx,su_text,tgt_text,sim,len_ratio,punct_diff,ne_overlap,flag
1 Korintus:1:1,su-en,1,1,Korintus 1,Korintus 1,1.0,1.0,0,1.0,High
1 Korintus:1:2,su-en,1,1,"Kahatur jamaah Allah di Korinta, ka sakur anu geus disaur dijadikeun umat suci Allah, geus jadi kagungana-Na ku jalan ngahiji jeung Kristus Yesus, babarengan jeung anu di mana-mana anu nyarembah ka Kristus Yesus Gusti urang, Gusti maranehanana oge.","to the church of God that is in Corinth, to those who are sanctified in Christ Jesus, and called to be saints, with all those in every place who call on the name of our Lord Jesus Christ, their Lord and ours.",0.8191,1.0,0,1.0,High
1 Korintus:1:3,su-en,1,1,"Sim kuring, jeung oge Sostenes, ngadoakeun mugia Allah Rama urang, jeung Gusti Yesus Kristus maparin rahmat salamet ka aranjeun.",Grace and peace to you from God our Father and the Lord Jesus Christ!,0.6698,0.652,4,1.0,Low
1 Korintus:1:4,su-en,1,1,"Sim kuring teu pegat-pegat muji sukur ka Allah ku hal aranjeun, anu geus mareunang rahmat Allah ku jalan ngahiji jeung Kristus Yesus.",I always thank my God for you because of the grace of God that was given to you in Christ Jesus.,0.7712,0.846,1,1.0,Medium
1 Korintus:1:5,su-en,1,1,"Sabab ku jalan kitu aranjeun jadi beunghar ku sagala rupa, tur perceka sarta rebo ku kanyaho.","For you were made rich in every way in him, in all your speech and in every kind of knowledge -",0.6536,0.818,0,1.0,Medium
1 Korintus:1:6,su-en,1,1,"Eta tandana warta hal Kristus teh geus nyerep enya-enya ka aranjeun,",just as the testimony about Christ has been confirmed among you -,0.6692,0.857,1,1.0,Medium
1 Korintus:1:7,su-en,1,1,nepi ka teu aya hiji berkah anu leupas ti aranjeun sajeroning ngadago-dago Gusti urang Yesus Kristus ebreh sumping.,so that you do not lack any spiritual gift as you wait for the revelation of our Lord Jesus Christ.,0.7427,1.0,0,1.0,Medium
1 Korintus:1:9,su-en,1,1,Allah anu nuyun aranjeun ngahiji jeung Yesus Kristus Putra-Na teh bisa ku aranjeun diandel.,"God is faithful, by whom you were called into fellowship with his son, Jesus Christ our Lord.",0.7651,0.85,2,1.0,Medium
1 Korintus:1:12,su-en,2,1,"Ceuk nu saurang, ""Kuring biluk ka Paulus""; ceuk nu saurang deui, ""Kuring biluk ka Apolos""; ceuk nu sejen, ""Kuring biluk ka Petrus""; ceuk nu sejen deui, ""Kuring biluk ka Kristus.""","Now I mean this, that each of you is saying, ""I am with Paul,"" or ""I am with Apollos,"" or ""I am with Cephas,"" or ""I am with Christ.""",0.7073,0.935,4,0.0,Low
1 Korintus:1:13,su-en,1,1,Kristus nepi ka dibagi-bagi!,Is Christ divided?,0.6612,0.571,2,1.0,Medium
1 Korintus:1:14,su-en,1,1,"Hadena sim kuring teu ngabaptis aranjeun saurang-urang acan, kajaba Krispus jeung Gayus.","I thank God that I did not baptize any of you except Crispus and Gaius,",0.7855,1.0,0,1.0,Medium
1 Korintus:1:16,su-en,1,1,"(Aya keneh ketah anu dibaptis ku sim kuring teh, Stepanus jeung kulawargana.",(I also baptized the household of Stephanus.,0.729,0.6,1,1.0,Medium
1 Korintus:1:21,su-en,1,1,"Sabab Allah anu bijaksana midamel, sangkan manusa mustahil bisa nyaho ka Mantenna ku kapinteranana sorangan.","For since in the wisdom of God the world by its wisdom did not know God, God was pleased to save those who believe by the foolishness of preaching.",0.632,0.548,0,1.0,Medium
1 Korintus:1:22,su-en,1,1,"Pikeun ngayakinkeun hal eta, urang Yahudi marenta tanda mujijat, urang Yunani ngarulik pangarti.","For Jews demand miraculous signs and Greeks ask for wisdom,",0.6184,0.688,1,1.0,Medium
1 Korintus:1:24,su-en,1,1,"Tapi pikeun anu geus disalaur ku Allah - boh urang Yahudi, boh nu lain Yahudi - eta warta hal Kristus teh bukti tina kakawasaan jeung kabijaksanaan Allah.","But to those who are called, both Jews and Greeks, Christ is the power of God and the wisdom of God.",0.7684,0.828,1,1.0,Medium
1 Korintus:1:25,su-en,1,1,"Sabab anu ku manusa dianggap kabodoan Allah, masih leuwih luhung ti batan kapinteran manusa; anu ku manusa dianggap kalemahan Allah, masih leuwih bedas ti batan kakuatan manusa.","For the foolishness of God is wiser than human wisdom, and the weakness of God is stronger than human strength.",0.8296,0.71,2,1.0,Medium
1 Korintus:1:27,su-en,1,1,"Ngahaja Allah milih anu ku dunya dianggap bodo, pikeun ngera-ngera anu palinter.","But God chose what the world thinks foolish to shame the wise, and God chose what the world thinks weak to shame the strong.",0.6469,0.615,0,1.0,Medium
1 Korintus:1:28,su-en,1,1,"Ngahaja Allah milih anu ku dunya dianggap hina, kuricakan, taya harga, pikeun ngaruntagkeun anu ku dunya diajen-ajen.","God chose what is low and despised in the world, what is regarded as nothing, to set aside what is regarded as something,",0.7483,0.885,0,1.0,Medium
1 Korintus:1:32,su-en,2,2,"Lalaki anu teu kawin tangtu bisa museurkeun pikiran kana hal-hal anu tumali jeung Gusti, pikeun nyenangkeun manah-Na.","An unmarried man is concerned about the things of the Lord, how to please the Lord.",0.6118,0.783,0,1.0,Medium
1 Korintus:1:34,su-en,2,2,"Awewe anu teu kawin atawa parawan, bisa laluasa ngawulakeun diri ka Gusti, ngabaktikeun jiwa ragana.","An unmarried woman or a virgin is concerned about the things of the Lord, to be holy both in body and spirit.",0.6715,0.75,1,1.0,Medium
1 Korintus:1:38,su-en,1,1,"Cindekna, lalaki anu kawin teh alus, tapi anu henteu kawin leuwih alus.","So then, the one who marries his own virgin does well, but the one who does not, does better.",0.6851,0.652,1,1.0,Medium
1 Korintus:1:39,su-en,1,1,Awewe anu kawin katalian ku salakina sapanjang salakina hirup keneh.,A wife is bound as long as her husband is living.,0.7544,0.917,0,1.0,Medium
1 Korintus:1:42,su-en,1,1,Kitu oge halna badan jelema anu geus maraot lamun geus dihirupkeun deui.,It is the same with the resurrection of the dead.,0.6749,0.846,0,1.0,Medium
1 Korintus:1:44,su-en,2,2,"Jadi ku sabab aya badan anu sipatna jasmani, tangtu aya badan anu sipatna rohani.","If there is a natural body, there is also a spiritual body.",0.7396,0.875,0,1.0,Medium
1 Korintus:1:44,su-en,1,1,"Waktu dikuburna badan teh sipatna jasmani, alami, ari geus dihirupkeun deui mah sipatna rohani.","it is sown a natural body, it is raised a spiritual body.",0.6618,0.824,1,1.0,Medium
1 Korintus:1:45,su-en,1,1,"Sabab dina Kitab Suci ditulis, ""Manusa anu kahiji, nya eta Adam, jadi mahluk hirup,"" tapi Adam anu ahir mah nya eta Roh anu ngahirupkeun.","So also it is written, ""The first man,Adam,became a living person""; the last Adam became a life-giving spirit.",0.7788,0.935,2,1.0,Medium
1 Korintus:1:46,su-en,1,1,"Anu datang ti heula teh anu sipatna jasmani, lain rohani.","However, the spiritual did not come first, but the natural, and then the spiritual.",0.6506,0.667,2,1.0,Medium
1 Korintus:1:47,su-en,1,1,"Adam kahiji dijadikeunana tina taneuh, asal ti ieu bumi.","The first man is from the earth, made of dust; the second man is from heaven.",0.6955,0.579,1,1.0,Medium
1 Korintus:1:50,su-en,1,1,"Maksud sim kuring kieu dulur-dulur: Sipat daging jeung getih moal bisa dibawa ka Karajaan Allah, anu sipatna teu langgeng moal bisa dibawa ka anu sipatna langgeng.","Now this is what I am saying, brothers and sisters: Flesh and blood cannot inherit the kingdom of God, nor does the perishable inherit the imperishable.",0.7985,0.968,1,1.0,Medium
1 Korintus:1:51,su-en,1,1,"Sim kuring rek ngabejakeun ieu rasiah: Urang teh moal waka maot kabeh, tapi urang kabeh bakal dirobah.","Listen, I will tell you a mystery: We will not all sleep, but we will all be changed -",0.6422,0.909,1,1.0,Medium
1 Korintus:1:55,su-en,1,1,"""He maot, mana kakawasaan maneh?","""Where,O death,is your victory?Where,O death,is your sting?""",0.6645,0.4,4,1.0,Low
1 Korintus:1:56,su-en,1,1,"Peurah maot asalna tina dosa, ari kakawasaan dosa asalna tina Hukum Agama.","The sting of death is sin, and the power of sin is the law.",0.7282,0.875,0,1.0,Medium
1 Korintus:1:57,su-en,2,1,Mantenna geus maparin kaunggulan ka urang ku jalan Gusti urang Yesus Kristus.,"But thanks be to God, who gives us the victory through our Lord Jesus Christ!",0.6911,0.765,2,1.0,Medium
1 Petrus:1:1,su-en,1,1,Petrus 1,Petrus 1,1.0,1.0,0,1.0,High
1 Petrus:1:3,su-en,1,1,"Puji jeung sukur kasanggakeun ka Allah, Ramana Gusti urang Yesus Kristus!",Blessed be the God and Father of our Lord Jesus Christ!,0.859,0.923,1,1.0,High
1 Petrus:1:3,su-en,2,2,"Allah teh ku bawaning mikawelas geus midamel urang jadi manusa anu anyar dina hirup anu anyar, anu geus boga hiji pangharepan anu moal pareum-pareum, ku jalan Mantenna ngahirupkeun deui Yesus Kristus tina pupus-Na.","By his great mercy he gave us new birth into a living hope through the resurrection of Jesus Christ from the dead,",0.7373,0.575,1,1.0,Medium
1 Petrus:1:9,su-en,1,1,"lantaran buahna eta kapercayaan aranjeun teh jadi kanyataan, nya eta kasalametan nyawa aranjeun.",because you are attaining the goal of your faith - the salvation of your souls.,0.6436,0.938,1,1.0,Medium
1 Petrus:1:10,su-en,1,1,"Para nabi anu ngawejangkeun ieu kasalametan pikeun aranjeun, baheula enggeus nalungtik jeung nitik-nitik.","Concerning this salvation, the prophets who predicted the grace that would come to you searched and investigated carefully.",0.6281,0.85,0,1.0,Medium
1 Petrus:1:11,su-en,1,1,"Anu ditalungtik teh kumaha jeung jaman mana pijadieunana eta hal anu ti samemehna keneh geus ditujul ku Roh Kristus ku anjeun anu aya di jero diri aranjeunna, anu ngandikakeun hal kasangsaraan anu baris disorang ku Kristus, kitu deui hal kamulyaan Anjeunna sabada sangsara.",They probed into what person or time the Spirit of Christ within them was indicating when he testified beforehand about the sufferings appointed for Christ and his subsequent glory.,0.7845,0.652,2,1.0,Medium
1 Petrus:1:15,su-en,1,1,"Sabalikna masing suci kalakuan, sabab Allah anu geus nyaur aranjeun teh suci,","but, like the Holy One who called you, become holy yourselves in all of your conduct,",0.6109,0.737,1,1.0,Medium
1 Petrus:1:16,su-en,1,1,"sakumaha ceuk Kitab Suci, ""Maraneh kudu suci, sabab Kami teh suci.""","for it is written, ""You shall be holy,because I am holy.""",0.7213,0.941,0,1.0,Medium
