verse_id,pair,su_idx,tgt_idx,su_text,tgt_text,sim,len_ratio,punct_diff,ne_overlap,flag
1 Korintus:1:1,su-id,1,1,Korintus 1,Korintus 1,1.0,1.0,0,1.0,High
1 Korintus:1:2,su-id,1,1,"Kahatur jamaah Allah di Korinta, ka sakur anu geus disaur dijadikeun umat suci Allah, geus jadi kagungana-Na ku jalan ngahiji jeung Kristus Yesus, babarengan jeung anu di mana-mana anu nyarembah ka Kristus Yesus Gusti urang, Gusti maranehanana oge.","kepada jemaat Allah di Korintus, yaitu mereka yang dikuduskan dalam Kristus Yesus dan yang dipanggil menjadi orang-orang kudus, dengan semua orang di segala tempat, yang berseru kepada nama Tuhan kita Yesus Kristus, yaitu Tuhan mereka dan Tuhan kita.",0.8389,0.957,0,1.0,High
1 Korintus:1:3,su-id,1,1,"Sim kuring, jeung oge Sostenes, ngadoakeun mugia Allah Rama urang, jeung Gusti Yesus Kristus maparin rahmat salamet ka aranjeun.","Kasih karunia dan damai sejahtera dari Allah, Bapa kita, dan dari Tuhan Yesus Kristus menyertai kamu.",0.6982,0.826,1,1.0,Medium
1 Korintus:1:4,su-id,1,1,"Sim kuring teu pegat-pegat muji sukur ka Allah ku hal aranjeun, anu geus mareunang rahmat Allah ku jalan ngahiji jeung Kristus Yesus.",Aku senantiasa mengucap syukur kepada Allahku karena kamu atas kasih karunia Allah yang dianugerahkan-Nya kepada kamu dalam Kristus Yesus.,0.792,0.846,1,1.0,Medium
1 Korintus:1:5,su-id,1,1,"Sabab ku jalan kitu aranjeun jadi beunghar ku sagala rupa, tur perceka sarta rebo ku kanyaho.","Sebab di dalam Dia kamu telah menjadi kaya dalam segala hal: dalam segala macam perkataan dan segala macam pengetahuan,",0.6665,0.857,1,1.0,Medium
1 Korintus:1:7,su-id,1,1,nepi ka teu aya hiji berkah anu leupas ti aranjeun sajeroning ngadago-dago Gusti urang Yesus Kristus ebreh sumping.,Demikianlah kamu tidak kekurangan dalam suatu karuniapun sementara kamu menantikan penyataan Tuhan kita Yesus Kristus.,0.6825,0.762,0,1.0,Medium
1 Korintus:1:9,su-id,1,1,Allah anu nuyun aranjeun ngahiji jeung Yesus Kristus Putra-Na teh bisa ku aranjeun diandel.,"Allah, yang memanggil kamu kepada persekutuan dengan Anak-Nya Yesus Kristus, Tuhan kita, adalah setia.",0.7294,0.85,3,1.0,Low
1 Korintus:1:13,su-id,2,2,Naha Paulus kitu anu pupus disalib gaganti aranjeun teh?,Adakah Paulus disalibkan karena kamu?,0.7224,0.6,0,1.0,Medium
1 Korintus:1:13,su-id,1,1,Kristus nepi ka dibagi-bagi!,Adakah Kristus terbagi-bagi?,0.7043,0.857,2,1.0,Medium
1 Korintus:1:13,su-id,3,3,Aranjeun dibaptis teh naha supaya jadi murid-murid Paulus?,Atau adakah kamu dibaptis dalam nama Paulus?,0.6097,0.727,0,1.0,Medium
1 Korintus:1:14,su-id,1,1,"Hadena sim kuring teu ngabaptis aranjeun saurang-urang acan, kajaba Krispus jeung Gayus.","Aku mengucap syukur bahwa tidak ada seorangpun juga di antara kamu yang aku baptis selain Krispus dan Gayus,",0.7909,0.842,0,1.0,Medium
1 Korintus:1:15,su-id,1,1,Anu matak moal aya anu nyebut-nyebut yen aranjeun dibaptis dijadikeun murid sim kuring.,"sehingga tidak ada orang yang dapat mengatakan, bahwa kamu dibaptis dalam namaku.",0.6193,0.875,1,1.0,Medium
1 Korintus:1:16,su-id,1,1,"(Aya keneh ketah anu dibaptis ku sim kuring teh, Stepanus jeung kulawargana.",Juga keluarga Stefanus aku yang membaptisnya.,0.6105,0.467,1,1.0,Low
1 Korintus:1:17,su-id,1,1,"Kristus ngutus sim kuring teh lain pikeun ngabaptis, tapi pikeun nguarkeun Injil Kasalametan.","Sebab Kristus mengutus aku bukan untuk membaptis, tetapi untuk memberitakan Injil; dan itupun bukan dengan hikmat perkataan, supaya salib Kristus jangan menjadi sia-sia.",0.7416,0.517,2,1.0,Medium
1 Korintus:1:18,su-id,2,1,"Sabalikna pikeun urang anu geus disalametkeun ku Allah, hal eta teh taya lian ti kakawasaan Allah.","Sebab pemberitaan tentang salib memang adalah kebodohan bagi mereka yang akan binasa, tetapi bagi kita yang diselamatkan pemberitaan itu adalah kekuatan Allah.",0.6009,0.75,0,1.0,Medium
1 Korintus:1:20,su-id,2,4,Ku Allah geus ditetelakeun kapinteran manusa teh taya lian ti omong kosong!,Bukankah Allah telah membuat hikmat dunia ini menjadi kebodohan?,0.6288,0.769,2,1.0,Medium
1 Korintus:1:21,su-id,1,1,"Sabab Allah anu bijaksana midamel, sangkan manusa mustahil bisa nyaho ka Mantenna ku kapinteranana sorangan.","Oleh karena dunia, dalam hikmat Allah, tidak mengenal Allah oleh hikmatnya, maka Allah berkenan menyelamatkan mereka yang percaya oleh kebodohan pemberitaan Injil.",0.6542,0.654,2,1.0,Medium
1 Korintus:1:22,su-id,1,1,"Pikeun ngayakinkeun hal eta, urang Yahudi marenta tanda mujijat, urang Yunani ngarulik pangarti.","Orang-orang Yahudi menghendaki tanda dan orang-orang Yunani mencari hikmat,",0.6766,0.875,1,1.0,Medium
1 Korintus:1:24,su-id,1,1,"Tapi pikeun anu geus disalaur ku Allah - boh urang Yahudi, boh nu lain Yahudi - eta warta hal Kristus teh bukti tina kakawasaan jeung kabijaksanaan Allah.","tetapi untuk mereka yang dipanggil, baik orang Yahudi, maupun orang bukan Yahudi, Kristus adalah kekuatan Allah dan hikmat Allah.",0.8608,0.793,2,1.0,Medium
1 Korintus:1:25,su-id,1,1,"Sabab anu ku manusa dianggap kabodoan Allah, masih leuwih luhung ti batan kapinteran manusa; anu ku manusa dianggap kalemahan Allah, masih leuwih bedas ti batan kakuatan manusa.",Sebab yang bodoh dari Allah lebih besar hikmatnya dari pada manusia dan yang lemah dari Allah lebih kuat dari pada manusia.,0.8077,0.71,3,1.0,Low
1 Korintus:1:28,su-id,1,1,"Ngahaja Allah milih anu ku dunya dianggap hina, kuricakan, taya harga, pikeun ngaruntagkeun anu ku dunya diajen-ajen.","dan apa yang tidak terpandang dan yang hina bagi dunia, dipilih Allah, bahkan apa yang tidak berarti, dipilih Allah untuk meniadakan apa yang berarti,",0.6809,0.821,1,1.0,Medium
1 Korintus:1:29,su-id,1,1,Anu matak moal aya manusa anu bisa adigung di payuneun Allah.,supaya jangan ada seorang manusiapun yang memegahkan diri di hadapan Allah.,0.8574,1.0,0,1.0,High
1 Korintus:1:30,su-id,1,1,"Aranjeun oge pang bisa ngahiji jeung Kristus Yesus teh ku sih kurnia Allah, ari Kristus ku Mantenna dijadikeun kabijaksanaan urang, tegesna kabijaksanaan urang teh asalna ti Kristus.","Tetapi oleh Dia kamu berada dalam Kristus Yesus, yang oleh Allah telah menjadi hikmat bagi kita.",0.6676,0.6,1,1.0,Medium
1 Korintus:1:31,su-id,1,1,"Ku sabab eta, ""Lamun urang arek agul, kudu agul teh ngan ku anu geus dipidamel ku Gusti pikeun urang."" Kitu ceuk Kitab Suci.","Karena itu seperti ada tertulis: ""Barangsiapa yang bermegah, hendaklah ia bermegah di dalam Tuhan.""",0.6465,0.655,2,1.0,Medium
1 Korintus:1:32,su-id,2,2,"Lalaki anu teu kawin tangtu bisa museurkeun pikiran kana hal-hal anu tumali jeung Gusti, pikeun nyenangkeun manah-Na.","Orang yang tidak beristeri memusatkan perhatiannya pada perkara Tuhan, bagaimana Tuhan berkenan kepadanya.",0.7423,0.652,0,1.0,Medium
1 Korintus:1:34,su-id,2,2,"Awewe anu teu kawin atawa parawan, bisa laluasa ngawulakeun diri ka Gusti, ngabaktikeun jiwa ragana.","Perempuan yang tidak bersuami dan anak-anak gadis memusatkan perhatian mereka pada perkara Tuhan, supaya tubuh dan jiwa mereka kudus.",0.6424,0.783,1,1.0,Medium
1 Korintus:1:36,su-id,1,1,"Lamun aya lalaki anu mutuskeun moal tulus kawin padahal eukeur tunangan, kieu: Lamun eta lalaki ngarasa putusanana kitu teh ngaraheutan hate kakasihna, tur manehna ge geus teu kuat hayang kawin, ngarasa wajib ngawin kakasihna, kawin bae.","Tetapi jikalau seorang menyangka, bahwa ia tidak berlaku wajar terhadap gadisnya, jika gadisnya itu telah bertambah tua dan ia benar-benar merasa, bahwa mereka harus kawin, baiklah mereka kawin, kalau ia menghendakinya.",0.7345,0.929,2,1.0,Medium
1 Korintus:1:36,su-id,2,2,Eta lain dosa.,Hal itu bukan dosa.,0.6564,0.8,0,1.0,Medium
1 Korintus:1:37,su-id,1,1,"Tapi lamun putusan hatena moal kawin teh lain putusan kapaksa sarta bener henteu kawin, memang kitu hadena, asal kuat.","Tetapi kalau ada seorang, yang tidak dipaksa untuk berbuat demikian, benar-benar yakin dalam hatinya dan benar-benar menguasai kemauannya, telah mengambil keputusan untuk tidak kawin dengan gadisnya, ia berbuat baik.",0.6715,0.579,2,1.0,Medium
