verse_id,sent_idx,sent_id,su_sentence,id_sentence,en_sentence,su_tokens,id_tokens,en_tokens,flag_su_id_emb,flag_su_en_emb
1 Korintus:1:1,1,1 Korintus:1:1#1,Korintus 1,Korintus 1,Korintus 1,Korintus 1,Korintus 1,Korintus 1,High,High
1 Korintus:1:2,1,1 Korintus:1:2#1,"Kahatur jamaah Allah di Korinta, ka sakur anu geus disaur dijadikeun umat suci Allah, geus jadi kagungana-Na ku jalan ngahiji jeung Kristus Yesus, babarengan jeung anu di mana-mana anu nyarembah ka Kristus Yesus Gusti urang, Gusti maranehanana oge.","kepada jemaat Allah di Korintus, yaitu mereka yang dikuduskan dalam Kristus Yesus dan yang dipanggil menjadi orang-orang kudus, dengan semua orang di segala tempat, yang berseru kepada nama Tuhan kita Yesus Kristus, yaitu Tuhan mereka dan Tuhan kita.","to the church of God that is in Corinth, to those who are sanctified in Christ Jesus, and called to be saints, with all those in every place who call on the name of our Lord Jesus Christ, their Lord and ours.","Kahatur jamaah Allah di Korinta , ka sakur anu geus disaur dijadikeun umat suci Allah , geus jadi kagungana - Na ku jalan ngahiji jeung Kristus Yesus , babarengan jeung anu di mana - mana anu nyarembah ka Kristus Yesus Gusti urang , Gusti maranehanana oge .","kepada jemaat Allah di Korintus , yaitu mereka yang dikuduskan dalam Kristus Yesus dan yang dipanggil menjadi orang - orang kudus , dengan semua orang di segala tempat , yang berseru kepada nama Tuhan kita Yesus Kristus , yaitu Tuhan mereka dan Tuhan kita .","to the church of God that is in Corinth , to those who are sanctified in Christ Jesus , and called to be saints , with all those in every place who call on the name of our Lord Jesus Christ , their Lord and ours .",High,High
1 Korintus:1:3,1,1 Korintus:1:3#1,"Sim kuring, jeung oge Sostenes, ngadoakeun mugia Allah Rama urang, jeung Gusti Yesus Kristus maparin rahmat salamet ka aranjeun.","Kasih karunia dan damai sejahtera dari Allah, Bapa kita, dan dari Tuhan Yesus Kristus menyertai kamu.",Grace and peace to you from God our Father and the Lord Jesus Christ!,"Sim kuring , jeung oge Sostenes , ngadoakeun mugia Allah Rama urang , jeung Gusti Yesus Kristus maparin rahmat salamet ka aranjeun .","Kasih karunia dan damai sejahtera dari Allah , Bapa kita , dan dari Tuhan Yesus Kristus menyertai kamu .",Grace and peace to you from God our Father and the Lord Jesus Christ !,Medium,Low
1 Korintus:1:4,1,1 Korintus:1:4#1,"Sim kuring teu pegat-pegat muji sukur ka Allah ku hal aranjeun, anu geus mareunang rahmat Allah ku jalan ngahiji jeung Kristus Yesus.",Aku senantiasa mengucap syukur kepada Allahku karena kamu atas kasih karunia Allah yang dianugerahkan-Nya kepada kamu dalam Kristus Yesus.,I always thank my God for you because of the grace of God that was given to you in Christ Jesus.,"Sim kuring teu pegat - pegat muji sukur ka Allah ku hal aranjeun , anu geus mareunang rahmat Allah ku jalan ngahiji jeung Kristus Yesus .",Aku senantiasa mengucap syukur kepada Allahku karena kamu atas kasih karunia Allah yang dianugerahkan - Nya kepada kamu dalam Kristus Yesus .,I always thank my God for you because of the grace of God that was given to you in Christ Jesus .,Medium,Medium
1 Korintus:1:5,1,1 Korintus:1:5#1,"Sabab ku jalan kitu aranjeun jadi beunghar ku sagala rupa, tur perceka sarta rebo ku kanyaho.","Sebab di dalam Dia kamu telah menjadi kaya dalam segala hal: dalam segala macam perkataan dan segala macam pengetahuan,","For you were made rich in every way in him, in all your speech and in every kind of knowledge -","Sabab ku jalan kitu aranjeun jadi beunghar ku sagala rupa , tur perceka sarta rebo ku kanyaho .","Sebab di dalam Dia kamu telah menjadi kaya dalam segala hal : dalam segala macam perkataan dan segala macam pengetahuan ,","For you were made rich in every way in him , in all your speech and in every kind of knowledge -",Medium,Medium
1 Korintus:1:6,1,1 Korintus:1:6#1,"Eta tandana warta hal Kristus teh geus nyerep enya-enya ka aranjeun,","sesuai dengan kesaksian tentang Kristus, yang telah diteguhkan di antara kamu.",just as the testimony about Christ has been confirmed among you -,"Eta tandana warta hal Kristus teh geus nyerep enya - enya ka aranjeun ,","sesuai dengan kesaksian tentang Kristus , yang telah diteguhkan di antara kamu .",just as the testimony about Christ has been confirmed among you -,,Medium
1 Korintus:1:7,1,1 Korintus:1:7#1,nepi ka teu aya hiji berkah anu leupas ti aranjeun sajeroning ngadago-dago Gusti urang Yesus Kristus ebreh sumping.,Demikianlah kamu tidak kekurangan dalam suatu karuniapun sementara kamu menantikan penyataan Tuhan kita Yesus Kristus.,so that you do not lack any spiritual gift as you wait for the revelation of our Lord Jesus Christ.,nepi ka teu aya hiji berkah anu leupas ti aranjeun sajeroning ngadago - dago Gusti urang Yesus Kristus ebreh sumping .,Demikianlah kamu tidak kekurangan dalam suatu karuniapun sementara kamu menantikan penyataan Tuhan kita Yesus Kristus .,so that you do not lack any spiritual gift as you wait for the revelation of our Lord Jesus Christ .,Medium,Medium
1 Korintus:1:8,1,1 Korintus:1:8#1,"Anjeunna tangtu mengkuhkeun iman aranjeun nepi ka ahir, supaya di mana Poe sumpingna cunduk, aranjeun teu aya cawadeunana.","Ia juga akan meneguhkan kamu sampai kepada kesudahannya, sehingga kamu tak bercacat pada hari Tuhan kita Yesus Kristus.","He will also strengthen you to the end, so that you will be blameless on the day of our Lord Jesus Christ.","Anjeunna tangtu mengkuhkeun iman aranjeun nepi ka ahir , supaya di mana Poe sumpingna cunduk , aranjeun teu aya cawadeunana .","Ia juga akan meneguhkan kamu sampai kepada kesudahannya , sehingga kamu tak bercacat pada hari Tuhan kita Yesus Kristus .","He will also strengthen you to the end , so that you will be blameless on the day of our Lord Jesus Christ .",,
1 Korintus:1:9,1,1 Korintus:1:9#1,Allah anu nuyun aranjeun ngahiji jeung Yesus Kristus Putra-Na teh bisa ku aranjeun diandel.,"Allah, yang memanggil kamu kepada persekutuan dengan Anak-Nya Yesus Kristus, Tuhan kita, adalah setia.","God is faithful, by whom you were called into fellowship with his son, Jesus Christ our Lord.",Allah anu nuyun aranjeun ngahiji jeung Yesus Kristus Putra - Na teh bisa ku aranjeun diandel .,"Allah , yang memanggil kamu kepada persekutuan dengan Anak - Nya Yesus Kristus , Tuhan kita , adalah setia .","God is faithful , by whom you were called into fellowship with his son , Jesus Christ our Lord .",Low,Medium
1 Korintus:1:10,1,1 Korintus:1:10#1,"Kalawan jenengan Gusti urang Yesus Kristus sim kuring meredih, aranjeun sing saluyu samupakat, ulah nepi ka pagetreng.","Tetapi aku menasihatkan kamu, saudara-saudara, demi nama Tuhan kita Yesus Kristus, supaya kamu seia sekata dan jangan ada perpecahan di antara kamu, tetapi sebaliknya supaya kamu erat bersatu dan sehati sepikir.","I urge you, brothers and sisters, by the name of our Lord Jesus Christ, to agree together, to end your divisions, and to be united by the same mind and purpose.","Kalawan jenengan Gusti urang Yesus Kristus sim kuring meredih , aranjeun sing saluyu samupakat , ulah nepi ka pagetreng .","Tetapi aku menasihatkan kamu , saudara - saudara , demi nama Tuhan kita Yesus Kristus , supaya kamu seia sekata dan jangan ada perpecahan di antara kamu , tetapi sebaliknya supaya kamu erat bersatu dan sehati sepikir .","I urge you , brothers and sisters , by the name of our Lord Jesus Christ , to agree together , to end your divisions , and to be united by the same mind and purpose .",,
